Mod:Item:MetaData, Localized Name
essentialcraft:spawnercollector, Spawner Collector
essentialcraft:staffoflife, Staff Of Life
essentialcraft:biomewand, Biome Wand
essentialcraft:emeraldheart, Emerald Heart
essentialcraft:magicalshield, Magical Shield
essentialcraft:spikyshield, Spiky Buckler
essentialcraft:magicwaterbottle, Magical Water Bottle
essentialcraft:magicalporkchop, Magical Porkchop
essentialcraft:charm:0, Charm Of Fire
essentialcraft:charm:0, Charm Of Fire
essentialcraft:charm:1, Charm Of Water
essentialcraft:charm:1, Charm Of Water
essentialcraft:charm:2, Charm Of Earth
essentialcraft:charm:2, Charm Of Earth
essentialcraft:charm:3, Charm Of Air
essentialcraft:charm:3, Charm Of Air
essentialcraft:charm:4, Charm Of Steam
essentialcraft:charm:4, Charm Of Steam
essentialcraft:charm:5, Charm Of Magma
essentialcraft:charm:5, Charm Of Magma
essentialcraft:charm:6, Charm Of Lightning
essentialcraft:charm:6, Charm Of Lightning
essentialcraft:charm:7, Charm Of Life
essentialcraft:charm:7, Charm Of Life
essentialcraft:charm:8, Charm Of Rain
essentialcraft:charm:8, Charm Of Rain
essentialcraft:charm:9, Charm Of Dust
essentialcraft:charm:9, Charm Of Dust
essentialcraft:magicalwings, Magical Wings
essentialcraft:chaosfork, Chaos Fork
essentialcraft:frozenmace, Frozen Mace
essentialcraft:holymace, Holy Mace
essentialcraft:elementalfuel:0, Fire Elemental Fuel
essentialcraft:elementalfuel:1, Water Elemental Fuel
essentialcraft:elementalfuel:2, Earth Elemental Fuel
essentialcraft:elementalfuel:3, Air Elemental Fuel
essentialcraft:ffocus, Fiery Focus
essentialcraft:wfocus, Watery Focus
essentialcraft:efocus, Earthen Focus
essentialcraft:afocus, Windy Focus
essentialcraft:fruit_item, item.essentialcraft.fruit_Item.name
essentialcraft:bottledwind, Bottled Wind
essentialcraft:imprisonedwind, Imprisoned Wind
essentialcraft:windkeeper, Trapped Wind
essentialcraft:windtablet, Wind Tablet
essentialcraft:elementalsword, Elemental Sword
essentialcraft:ember:0, Acidic Ember
essentialcraft:ember:1, Chaotic Ember
essentialcraft:ember:2, Smouldering Ember
essentialcraft:ember:3, Corrupted Ember
essentialcraft:ember:4, Crystal Ember
essentialcraft:ember:5, Divine Ember
essentialcraft:ember:6, Magical Ember
essentialcraft:ember:7, Burning Ember
essentialcraft:helm_magic, MHS Helm
essentialcraft:chest_magic, MHS Chestplate
essentialcraft:legs_magic, MHS Leggings
essentialcraft:boots_magic, MHS Boots
essentialcraft:helm_void, Void Helm
essentialcraft:chest_void, Void Chestplate
essentialcraft:legs_void, Void Leggings
essentialcraft:boots_void, Void Boots
essentialcraft:helm_inq, Inquisitorium Helm
essentialcraft:chest_inq, Inquisitorium Chestplate
essentialcraft:legs_inq, Inquisitorium Leggings
essentialcraft:boots_inq, Inquisitorium Boots
essentialcraft:helm_wind, Wind Mage Hood
essentialcraft:chest_wind, Wind Mage Robe
essentialcraft:legs_wind, Wind Mage Leggings
essentialcraft:boots_wind, Wind Mage Boots
essentialcraft:bauble, Mystical Accessory
essentialcraft:magmaticstaff, Magmatic Staff
essentialcraft:magicallantern, Magical Lantern
essentialcraft:magnetizingstaff, Magnetizing Staff
essentialcraft:research_book, Research Book
essentialcraft:air_potion, Air Potion
essentialcraft:mrumover_t2, MRUCU Moving Wand Tier 2
essentialcraft:playerlist, Player Whitelist
essentialcraft:magicalchisel, Magical Chisel
essentialcraft:itemfilter:0, Magical Inventory Node Filter
essentialcraft:itemfilter:1, Magical Inventory Node Filter
essentialcraft:itemfilter:2, Magical Inventory Node Filter
essentialcraft:itemfilter:3, Magical Inventory Node Filter
essentialcraft:controlrod, Control Rod
essentialcraft:baublescore:0, Portable Matrix Destructor
essentialcraft:baublescore:1, Ring Of Stability
essentialcraft:baublescore:2, Ring Of Experience
essentialcraft:baublescore:3, Ring Of Resistance
essentialcraft:baublescore:4, Pendant Of Health
essentialcraft:baublescore:5, Wind Catcher
essentialcraft:baublescore:6, Wind Mage's Talisman
essentialcraft:baublescore:7, Doctor's Belt
essentialcraft:baublescore:8, α Ring
essentialcraft:baublescore:9, β Ring
essentialcraft:baublescore:10, γ Ring
essentialcraft:baublescore:11, δ Ring
essentialcraft:baublescore:12, ε Belt
essentialcraft:baublescore:13, ζ Amulet
essentialcraft:baublescore:14, η Amulet
essentialcraft:baublescore:15, θ Belt
essentialcraft:baublescore:16, ι Ring
essentialcraft:baublescore:17, κ Ring
essentialcraft:baublescore:18, λ Ring
essentialcraft:baublescore:19, μ Ring
essentialcraft:baublescore:20, ν Amulet
essentialcraft:baublescore:21, ξ Belt
essentialcraft:baublescore:22, ο Amulet
essentialcraft:baublescore:23, π Belt
essentialcraft:baublescore:24, ρ Ring
essentialcraft:baublescore:25, σ Ring
essentialcraft:baublescore:26, τ Ring
essentialcraft:baublescore:27, υ Ring
essentialcraft:baublescore:28, φ Ring
essentialcraft:baublescore:29, χ Ring
essentialcraft:baublescore:30, ψ Ring
essentialcraft:baublescore:31, ω Ring
essentialcraft:shadesword, SHADE Corrupted Sword
essentialcraft:shadeslasher, SHADE Corrupted Cleaver
essentialcraft:shadeknife, SHADE Corrupted Daggers
essentialcraft:entityegg:0, Spawn Entity: MRUCU
essentialcraft:entityegg:1, Spawn Entity: MRU Shot
essentialcraft:entityegg:2, Spawn Entity: Solar Beam
essentialcraft:entityegg:3, Spawn Entity: Wind Mage
essentialcraft:entityegg:4, Spawn Entity: Poison Fume
essentialcraft:entityegg:5, Spawn Entity: Shadow Knife
essentialcraft:entityegg:6, Spawn Entity: Ray of LOVE
essentialcraft:entityegg:7, Spawn Entity: Demon
essentialcraft:entityegg:8, Spawn Entity: Holographic Projection
essentialcraft:entityegg:9, Spawn Entity: entity.essentialcraft.common.entity.EntityPlayerClone.name
essentialcraft:entityegg:10, Spawn Entity: entity.essentialcraft.common.entity.EntityOrbitalStrike.name
essentialcraft:entityegg:11, Spawn Entity: entity.essentialcraft.common.entity.EntityDivider.name
essentialcraft:entityegg:12, Spawn Entity: entity.essentialcraft.common.entity.EntityArmorDestroyer.name
essentialcraft:entityegg:13, Spawn Entity: entity.essentialcraft.common.entity.EntityDividerProjectile.name
essentialcraft:gun.pistol:0, Pistol
essentialcraft:gun.pistol:0, Pistol
essentialcraft:gun.rifle:0, Assault Rifle
essentialcraft:gun.rifle:0, Assault Rifle
essentialcraft:gun.sniper:0, Sniper Rifle
essentialcraft:gun.sniper:0, Sniper Rifle
essentialcraft:gun.gatling:0, Gatling Gun
essentialcraft:gun.gatling:0, Gatling Gun
essentialcraft:weak_elemental_pick, Weakened Elemental Pickaxe
essentialcraft:weak_elemental_axe, Weakened Elemental Axe
essentialcraft:weak_elemental_hoe, Weakened Elemental Hoe
essentialcraft:weak_elemental_shovel, Weakened Elemental Shovel
essentialcraft:weak_elemental_sword, Weakened Elemental Sword
essentialcraft:wind_elemental_pick, Wind Infused Pickaxe
essentialcraft:wind_elemental_shovel, Wind Infused Shovel
essentialcraft:wind_elemental_axe, Wind Infused Axe
essentialcraft:wind_elemental_hoe, Wind Infused Hoe
essentialcraft:wind_elemental_sword, Wind Infused Sword
essentialcraft:wind_helmet, Wind Infused Helmet
essentialcraft:wind_chestplate, Wind Infused Chestplate
essentialcraft:wind_leggings, Wind Infused Leggings
essentialcraft:wind_boots, Wind Infused Boots
essentialcraft:soulscriber, Soul Scriber
essentialcraft:magicalbuilder, Magical Building Wand
essentialcraft:computer_helmet, Computer Guy's Helmet
essentialcraft:computer_chestplate, Computer Guy's Chestplate
essentialcraft:computer_leggings, Computer Guy's Leggings
essentialcraft:computer_boots, Computer Guy's Boots
essentialcraft:computerboard, Computer Guy's Antigravitational Board
essentialcraft:orbitalremote, Remote Orbital Strike
essentialcraft:dividergun, Divider's Gun
essentialcraft:robocalypse, Holographic Record
essentialcraft:inventorygem, Inventory Gem
essentialcraft:craftingframe, Crafting Frame
essentialcraft:collectedspawner, Monster Spawner
essentialcraft:balance_setter, Balance Setter
essentialcraft:clearing_catalyst, item.essentialcraft.clearing_catalyst.name
essentialcraft:raining_catalyst, item.essentialcraft.raining_catalyst.name
essentialcraft:thundering_catalyst, item.essentialcraft.thundering_catalyst.name
essentialcraft:fancyblock.mru:0, Fancy MRU Tile
essentialcraft:fancyblock.mru:1, Fancy MRU Tile
essentialcraft:fancyblock.mru:2, Fancy MRU Tile
essentialcraft:fancyblock.mru:3, Fancy MRU Tile
essentialcraft:fancyblock.mru:4, Fancy MRU Tile
essentialcraft:fancyblock.mru:5, Fancy MRU Tile
essentialcraft:fancyblock.mru:6, Fancy MRU Tile
essentialcraft:fancyblock.mru:7, Fancy MRU Tile
essentialcraft:fancyblock.mru:8, Fancy MRU Tile
essentialcraft:fancyblock.mru:9, Fancy MRU Tile
essentialcraft:fancyblock.mru:10, Fancy MRU Tile
essentialcraft:fancyblock.mru:11, Fancy MRU Tile
essentialcraft:fancyblock.mru:12, Fancy MRU Tile
essentialcraft:fancyblock.mru:13, Fancy MRU Tile
essentialcraft:fancyblock.mru:14, Fancy MRU Tile
essentialcraft:fancyblock.mru:15, Fancy MRU Tile
essentialcraft:fancyblock.concrete:0, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:1, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:2, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:3, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:4, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:5, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:6, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:7, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:8, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:9, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:10, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:11, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:12, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:13, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:14, Fancy Concrete Tile
essentialcraft:fancyblock.concrete:15, Fancy Concrete Tile
essentialcraft:fancyblock.fortifiedstone:0, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:1, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:2, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:3, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:4, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:5, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:6, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:7, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:8, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:9, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:10, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:11, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:12, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:13, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:14, Fancy Fortified Stone Tile
essentialcraft:fancyblock.fortifiedstone:15, Fancy Fortified Stone Tile
essentialcraft:fancyblock.coldstone:0, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:1, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:2, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:3, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:4, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:5, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:6, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:7, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:8, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:9, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:10, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:11, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:12, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:13, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:14, Fancy Cold Stone Tile
essentialcraft:fancyblock.coldstone:15, Fancy Cold Stone Tile
essentialcraft:fancyblock.magicplating:0, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:1, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:2, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:3, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:4, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:5, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:6, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:7, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:8, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:9, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:10, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:11, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:12, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:13, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:14, Fancy Magic Plating Tile
essentialcraft:fancyblock.magicplating:15, Fancy Magic Plating Tile
essentialcraft:fancyblock.paleplating:0, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:1, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:2, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:3, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:4, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:5, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:6, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:7, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:8, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:9, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:10, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:11, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:12, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:13, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:14, Fancy Pale Plating Tile
essentialcraft:fancyblock.paleplating:15, Fancy Pale Plating Tile
essentialcraft:fancyblock.voidstone:0, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:1, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:2, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:3, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:4, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:5, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:6, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:7, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:8, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:9, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:10, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:11, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:12, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:13, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:14, Fancy Void Stone Tile
essentialcraft:fancyblock.voidstone:15, Fancy Void Stone Tile
essentialcraft:fancyblock.mithrilineplating:0, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:1, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:2, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:3, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:4, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:5, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:6, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:7, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:8, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:9, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:10, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:11, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:12, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:13, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:14, Fancy Mithriline Plating
essentialcraft:fancyblock.mithrilineplating:15, Fancy Mithriline Plating
essentialcraft:fancyblock.demonicplating:0, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:1, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:2, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:3, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:4, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:5, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:6, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:7, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:8, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:9, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:10, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:11, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:12, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:13, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:14, Fancy Demonic Plating
essentialcraft:fancyblock.demonicplating:15, Fancy Demonic Plating
essentialcraft:fancyblock.mimic:0, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:1, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:2, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:3, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:4, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:5, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:6, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:7, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:8, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:9, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:10, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:11, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:12, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:13, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:14, Fancy Mimic Block Tile
essentialcraft:fancyblock.mimic:15, Fancy Mimic Block Tile
railcraft:creosote, Creosote
railcraft:steam, Steam
railcraft:tool_crowbar_iron, Iron Crowbar
railcraft:tool_crowbar_steel, Steel Crowbar
railcraft:tool_axe_steel, Steel Axe
railcraft:tool_hoe_steel, Steel Hoe
railcraft:tool_pickaxe_steel, Steel Pickaxe
railcraft:tool_shears_steel, Steel Shears
railcraft:tool_shovel_steel, Steel Shovel
railcraft:tool_sword_steel, Steel Sword
railcraft:armor_helmet_steel, Steel Helmet
railcraft:armor_chestplate_steel, Steel Chestplate
railcraft:armor_leggings_steel, Steel Leggings
railcraft:armor_boots_steel, Steel Boots
railcraft:tool_magnifying_glass, Magnifying Glass
railcraft:armor_goggles, Trackman's Goggles
railcraft:armor_overalls, Engineer's Overalls
railcraft:tool_notepad, Trackman's Notepad
railcraft:rail:0, Standard Rail
railcraft:rail:1, Advanced Rail
railcraft:rail:2, Wooden Rail
railcraft:rail:3, H.S. Rail
railcraft:rail:4, Reinforced Rail
railcraft:rail:5, Electric Rail
railcraft:tie:0, Wooden Tie
railcraft:tie:1, Stone Tie
railcraft:rebar, Rebar
railcraft:cart_spawner:0, Spawner Cart
railcraft:detector:0, Cart Detector - Item
railcraft:detector:1, Cart Detector - Any
railcraft:detector:2, Cart Detector - Empty
railcraft:detector:3, Cart Detector - Mob
railcraft:detector:4, Cart Detector - Player
railcraft:detector:5, Cart Detector - Animal
railcraft:detector:6, Cart Detector - Tank
railcraft:detector:7, Cart Detector - Advanced
railcraft:detector:8, Cart Detector - Age
railcraft:detector:9, Cart Detector - Train
railcraft:detector:10, Cart Detector - Sheep
railcraft:detector:11, Cart Detector - Villager
railcraft:detector:12, Cart Detector - Locomotive
railcraft:detector:13, Cart Detector - Routing
railcraft:manipulator:0, Item Loader
railcraft:manipulator:1, Item Unloader
railcraft:manipulator:2, Adv. Item Loader
railcraft:manipulator:3, Adv. Item Unloader
railcraft:manipulator:4, Fluid Loader
railcraft:manipulator:5, Fluid Unloader
railcraft:manipulator:10, Redstone Flux Loader
railcraft:manipulator:11, Redstone Flux Unloader
railcraft:manipulator:8, Cart Dispenser
railcraft:manipulator:9, Train Dispenser
railcraft:equipment:0, Manual Rolling Machine
railcraft:equipment:1, Powered Rolling Machine
railcraft:equipment:2, Feed Station
railcraft:equipment:3, Smoker
railcraft:trade_station:0, Trade Station
railcraft:force_track_emitter, Force Track Emitter
railcraft:track_force, Force Track
railcraft:filter_blank, Blank Filter
railcraft:filter_type, Item Type Filter
railcraft:filter_ore_dict, Ore Dictionary Filter
railcraft:bore:0, Tunnel Bore
railcraft:borehead_bronze, Bronze Bore Head
railcraft:borehead_iron, Iron Bore Head
railcraft:borehead_steel, Steel Bore Head
railcraft:borehead_diamond, Diamond Bore Head
railcraft:mow_track_layer:0, Track Layer Cart
railcraft:mow_track_relayer:0, Track Relayer Cart
railcraft:mow_track_remover:0, Track Remover Cart
railcraft:mow_undercutter:0, Undercutter Cart
railcraft:cart_trade_station:0, Trade Station Cart
railcraft:cart_work:0, Work Cart
railcraft:cart_jukebox:0, Jukebox Cart
railcraft:cart_bed:0, Bed Cart
railcraft:battery_nickel_iron, Nickel-Iron Battery
railcraft:battery_nickel_zinc, Nickel-Zinc Battery
railcraft:battery_zinc_carbon, Zinc-Carbon Battery
railcraft:battery_zinc_silver, Zinc-Silver Battery
railcraft:charge_feeder:1, Admin Charge Feeder Unit
railcraft:charge_trap, Charge Trap
railcraft:frame, Wire Support Frame
railcraft:steam_turbine:0, Steam Turbine Housing
railcraft:wire, Charge Shunting Wire
railcraft:charge:0, Charge Coil
railcraft:charge:1, Charge Terminal
railcraft:charge:2, Small Charge Wire Spool
railcraft:charge:3, Medium Charge Wire Spool
railcraft:charge:4, Large Charge Wire Spool
railcraft:charge:5, Charge Motor
railcraft:charge:6, Nickel Electrode
railcraft:charge:7, Iron Electrode
railcraft:charge:8, Zinc Electrode
railcraft:charge:9, item.railcraft.charge.electrode.carbon.name
railcraft:charge:10, item.railcraft.charge.electrode.silver.name
railcraft:tool_charge_meter, Charge Meter
railcraft:turbine_blade, Turbine Blade
railcraft:turbine_disk, Turbine Disk
railcraft:turbine_rotor, Turbine Rotor
railcraft:worldspike:0, Admin Worldspike
railcraft:worldspike:1, Passive Worldspike
railcraft:worldspike:2, Personal Worldspike
railcraft:worldspike:3, Standard Worldspike
railcraft:worldspike_point, Worldspike Point
railcraft:cart_worldspike_standard:0, Standard Worldspike Cart
railcraft:cart_worldspike_admin:0, Admin Worldspike Cart
railcraft:cart_worldspike_personal:0, Personal Worldspike Cart
railcraft:emblem, Emblem
railcraft:anvil:0, Steel Anvil
railcraft:anvil:1, Slightly Damaged Steel Anvil
railcraft:anvil:2, Very Damaged Steel Anvil
railcraft:fuel_coke, Coal Coke
railcraft:coke_oven:0, Coke Oven Brick
railcraft:coke_oven_red:0, tile.railcraft.coke.oven.red.name
railcraft:blast_furnace:0, Blast Furnace Brick
railcraft:rock_crusher:0, Rock Crusher
railcraft:steam_oven:0, Steam Oven
railcraft:tank_iron_gauge:0, Iron Tank Gauge
railcraft:tank_iron_gauge:1, Iron Tank Gauge
railcraft:tank_iron_gauge:2, Iron Tank Gauge
railcraft:tank_iron_gauge:3, Iron Tank Gauge
railcraft:tank_iron_gauge:4, Iron Tank Gauge
railcraft:tank_iron_gauge:5, Iron Tank Gauge
railcraft:tank_iron_gauge:6, Iron Tank Gauge
railcraft:tank_iron_gauge:7, Iron Tank Gauge
railcraft:tank_iron_gauge:8, Iron Tank Gauge
railcraft:tank_iron_gauge:9, Iron Tank Gauge
railcraft:tank_iron_gauge:10, Iron Tank Gauge
railcraft:tank_iron_gauge:11, Iron Tank Gauge
railcraft:tank_iron_gauge:12, Iron Tank Gauge
railcraft:tank_iron_gauge:13, Iron Tank Gauge
railcraft:tank_iron_gauge:14, Iron Tank Gauge
railcraft:tank_iron_gauge:15, Iron Tank Gauge
railcraft:tank_iron_valve:0, Iron Tank Valve
railcraft:tank_iron_valve:1, Iron Tank Valve
railcraft:tank_iron_valve:2, Iron Tank Valve
railcraft:tank_iron_valve:3, Iron Tank Valve
railcraft:tank_iron_valve:4, Iron Tank Valve
railcraft:tank_iron_valve:5, Iron Tank Valve
railcraft:tank_iron_valve:6, Iron Tank Valve
railcraft:tank_iron_valve:7, Iron Tank Valve
railcraft:tank_iron_valve:8, Iron Tank Valve
railcraft:tank_iron_valve:9, Iron Tank Valve
railcraft:tank_iron_valve:10, Iron Tank Valve
railcraft:tank_iron_valve:11, Iron Tank Valve
railcraft:tank_iron_valve:12, Iron Tank Valve
railcraft:tank_iron_valve:13, Iron Tank Valve
railcraft:tank_iron_valve:14, Iron Tank Valve
railcraft:tank_iron_valve:15, Iron Tank Valve
railcraft:tank_iron_wall:0, Iron Tank Wall
railcraft:tank_iron_wall:1, Iron Tank Wall
railcraft:tank_iron_wall:2, Iron Tank Wall
railcraft:tank_iron_wall:3, Iron Tank Wall
railcraft:tank_iron_wall:4, Iron Tank Wall
railcraft:tank_iron_wall:5, Iron Tank Wall
railcraft:tank_iron_wall:6, Iron Tank Wall
railcraft:tank_iron_wall:7, Iron Tank Wall
railcraft:tank_iron_wall:8, Iron Tank Wall
railcraft:tank_iron_wall:9, Iron Tank Wall
railcraft:tank_iron_wall:10, Iron Tank Wall
railcraft:tank_iron_wall:11, Iron Tank Wall
railcraft:tank_iron_wall:12, Iron Tank Wall
railcraft:tank_iron_wall:13, Iron Tank Wall
railcraft:tank_iron_wall:14, Iron Tank Wall
railcraft:tank_iron_wall:15, Iron Tank Wall
railcraft:tank_steel_gauge:0, Steel Tank Gauge
railcraft:tank_steel_gauge:1, Steel Tank Gauge
railcraft:tank_steel_gauge:2, Steel Tank Gauge
railcraft:tank_steel_gauge:3, Steel Tank Gauge
railcraft:tank_steel_gauge:4, Steel Tank Gauge
railcraft:tank_steel_gauge:5, Steel Tank Gauge
railcraft:tank_steel_gauge:6, Steel Tank Gauge
railcraft:tank_steel_gauge:7, Steel Tank Gauge
railcraft:tank_steel_gauge:8, Steel Tank Gauge
railcraft:tank_steel_gauge:9, Steel Tank Gauge
railcraft:tank_steel_gauge:10, Steel Tank Gauge
railcraft:tank_steel_gauge:11, Steel Tank Gauge
railcraft:tank_steel_gauge:12, Steel Tank Gauge
railcraft:tank_steel_gauge:13, Steel Tank Gauge
railcraft:tank_steel_gauge:14, Steel Tank Gauge
railcraft:tank_steel_gauge:15, Steel Tank Gauge
railcraft:tank_steel_valve:0, Steel Tank Valve
railcraft:tank_steel_valve:1, Steel Tank Valve
railcraft:tank_steel_valve:2, Steel Tank Valve
railcraft:tank_steel_valve:3, Steel Tank Valve
railcraft:tank_steel_valve:4, Steel Tank Valve
railcraft:tank_steel_valve:5, Steel Tank Valve
railcraft:tank_steel_valve:6, Steel Tank Valve
railcraft:tank_steel_valve:7, Steel Tank Valve
railcraft:tank_steel_valve:8, Steel Tank Valve
railcraft:tank_steel_valve:9, Steel Tank Valve
